model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 Tiguan,2016,18000,Manual,22334,Diesel,160,50.4,2.0,Volkswagen
 Combo Life,2018,14495,Manual,6000,Diesel,145,53.3,1.5,Vauxhall
 Octavia,2017,15500,Manual,29959,Diesel,145,56.5,2.0,Skoda
 Fiesta,2018,10995,Manual,16405,Petrol,145,65.7,1.0,Ford
 GTC,2015,13762,Manual,32910,Petrol,260,36.2,2.0,Vauxhall
 GLA Class,2019,22899,Semi-Auto,15618,Diesel,145,67.3,2.1,Mercedes
 Focus,2011,5495,Automatic,76317,Diesel,150,53.3,2.0,Ford
 Golf,2016,17142,Semi-Auto,19435,Diesel,30,62.8,2.0,Volkswagen
 Mokka,2016,7450,Manual,48293,Diesel,30,65.7,1.6,Vauxhall
 Passat,2019,22769,Automatic,6534,Other,145,39.2,1.5,Volkswagen
 Aygo,2019,9999,Manual,1500,Petrol,145,56.5,1.0,Toyota
 Zafira,2016,10795,Manual,20619,Petrol,200,42.2,1.4,Vauxhall
 Focus,2012,5500,Manual,68300,Diesel,20,67.3,1.6,Ford
 Corsa,2016,8495,Manual,19526,Petrol,30,55.4,1.4,Vauxhall
 Superb,2018,15699,Manual,17509,Diesel,145,64.2,2.0,Skoda
 Q3,2019,34780,Automatic,5252,Diesel,145,47.1,2.0,Audi
 C-HR,2019,24490,Automatic,7206,Hybrid,135,74.3,1.8,Toyota
 A1,2015,8995,Manual,50982,Petrol,0,67.3,1.0,Audi
 EcoSport,2017,9995,Manual,12055,Petrol,125,53.3,1.0,Ford
 C-HR,2017,20695,Automatic,17868,Hybrid,0,74.3,1.8,Toyota
 A Class,2020,24109,Semi-Auto,1000,Diesel,145,67.3,1.5,Mercedes
 Fiesta,2016,12250,Manual,16375,Petrol,150,47.9,1.6,Ford
 Fabia,2017,8995,Manual,16700,Petrol,145,58.8,1.0,Skoda
 GLA Class,2017,16999,Manual,33014,Petrol,145,48.7,1.6,Mercedes
 Fiesta,2017,8991,Manual,18561,Petrol,145,54.3,1.2,Ford
 IX20,2016,7995,Manual,32001,Petrol,125,50.4,1.4,Hyundai
 X1,2017,13500,Manual,38310,Diesel,20,68.9,2.0,BMW
 X6,2019,54995,Semi-Auto,3455,Diesel,145,34.9,3.0,BMW
 B Class,2019,24589,Semi-Auto,1000,Diesel,145,55.4,2.0,Mercedes
 X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0,BMW
 Fabia,2016,10622,Semi-Auto,13890,Petrol,20,60.1,1.2,Skoda
 S-MAX,2017,17999,Manual,38857,Diesel,145,56.5,2.0,Ford
 X1,2019,25000,Automatic,4534,Petrol,145,46.3,1.5,BMW
 Viva,2016,5995,Manual,34304,Petrol,20,62.8,1.0,Vauxhall
 Astra,2017,10798,Manual,27408,Petrol,150,51.4,1.4,Vauxhall
 Fiesta,2017,9690,Manual,23000,Petrol,0,65.7,1.0,Ford
 Insignia,2011,3450,Manual,61000,Diesel,165,52.3,2.0,Vauxhall
 T-Cross,2019,19495,Manual,1900,Petrol,145,47.9,1.0,Volkswagen
 Fabia,2018,9123,Manual,23723,Petrol,150,64.2,1.0,Skoda
 Golf,2018,12200,Manual,32808,Petrol,150,58.9,1.0,Volkswagen
 Corsa,2009,2695,Manual,97000,Petrol,145,48.7,1.2,Vauxhall
 Focus,2018,12950,Manual,21149,Petrol,145,57.7,1.0,Ford
 Astra,2019,12998,Manual,6435,Petrol,145,51.4,1.4,Vauxhall
 Fiesta,2017,7295,Manual,22732,Petrol,125,54.3,1.2,Ford
 Golf,2019,22295,Manual,16131,Petrol,145,37.2,2.0,Volkswagen
 3 Series,2019,25975,Semi-Auto,3119,Petrol,150,42.2,2.0,BMW
 Kuga,2016,12500,Manual,61051,Diesel,145,54.3,2.0,Ford
 Octavia,2015,7750,Manual,85957,Diesel,20,70.6,2.0,Skoda
 Fiesta,2017,7850,Manual,16210,Petrol,150,54.3,1.2,Ford
 B-MAX,2015,6160,Manual,49514,Diesel,20,70.6,1.6,Ford
 T-Cross,2019,19499,Manual,7421,Diesel,145,52.3,1.6,Volkswagen
 Polo,2015,9492,Manual,16039,Petrol,0,68.9,1.0,Volkswagen
 A3,2019,21491,Manual,4552,Diesel,145,51.4,1.6,Audi
 C Class,2015,10397,Manual,79881,Diesel,20,65.7,2.1,Mercedes
 Up,2019,9741,Manual,995,Petrol,145,54.3,1.0,Volkswagen
 EcoSport,2018,14390,Semi-Auto,13952,Petrol,145,45.6,1.0,Ford
 CL Class,2018,19589,Semi-Auto,2628,Diesel,145,67.3,2.1,Mercedes
 Q3,2017,17495,Manual,34617,Diesel,30,60.1,2.0,Audi
 Corsa,2018,8490,Manual,10,Petrol,150,55.4,1.4,Vauxhall
 C Class,2020,22980,Manual,16,Petrol,145,47.1,1.6,Mercedes
 1 Series,2019,16888,Automatic,8503,Diesel,145,72.4,1.5,BMW
 Tiguan,2019,21999,Semi-Auto,14158,Petrol,150,37.7,1.5,Volkswagen
 Corsa,2017,4990,Manual,75000,Petrol,30,55.4,1.4,Vauxhall
 Corsa,2017,8449,Manual,11695,Petrol,145,55.4,1.4,Vauxhall
 Astra,2016,8699,Manual,18420,Petrol,125,51.4,1.4,Vauxhall
 Agila,2004,1395,Manual,62000,Petrol,145,43.5,1.0,Vauxhall
 Polo,2015,6490,Manual,39000,Petrol,20,60.1,1.2,Volkswagen
 Kona,2018,12998,Manual,11458,Petrol,145,52.3,1.0,Hyundai
 Corsa,2019,11595,Manual,10254,Petrol,145,43.5,1.4,Vauxhall
 3 Series,2014,9000,Automatic,155790,Diesel,145,54.3,3.0,BMW
 Superb,2016,12080,Semi-Auto,59823,Petrol,30,55.4,1.4,Skoda
 C Class,2019,38999,Semi-Auto,3220,Petrol,145,30.4,3.0,Mercedes
 Focus,2005,2495,Automatic,87908,Petrol,265,36.7,1.6,Ford
 Superb,2018,15800,Manual,27266,Diesel,145,65.7,2.0,Skoda
 Mokka,2016,8498,Manual,42252,Petrol,165,44.8,1.4,Vauxhall
 Kuga,2019,20847,Manual,10233,Diesel,145,47.9,2.0,Ford
 Crossland X,2019,15990,Manual,7692,Petrol,145,47.1,1.2,Vauxhall
 Yeti,2017,12650,Automatic,12000,Petrol,145,51.4,1.2,Skoda
 Corsa,2013,5850,Manual,31241,Petrol,125,51.4,1.2,Vauxhall
 Insignia,2019,16991,Manual,16705,Diesel,145,49.6,2.0,Vauxhall
 E Class,2016,18260,Automatic,37199,Diesel,30,65.7,2.0,Mercedes
 X1,2019,28780,Manual,1000,Diesel,145,48.7,2.0,BMW
 I10,2017,8499,Manual,11000,Petrol,150,60.1,1.0,Hyundai
 Auris,2014,10000,Manual,23743,Petrol,145,46.3,1.6,Toyota
 Kuga,2016,15598,Manual,17642,Diesel,145,54.3,2.0,Ford
 Focus,2017,10483,Manual,25000,Diesel,150,74.3,1.5,Ford
 Amarok,2015,16495,Manual,56371,Diesel,260,35.3,2.0,Volkswagen
 Tucson,2018,15495,Manual,10124,Petrol,145,34.9,1.6,Hyundai
 Focus,2015,8495,Manual,40746,Diesel,0,74.3,1.5,Ford
 Mondeo,2019,13785,Semi-Auto,36180,Diesel,150,45.6,2.0,Ford
 Fabia,2017,8500,Manual,24598,Petrol,150,60.1,1.2,Skoda
 Combo Life,2019,18448,Manual,1,Petrol,145,42.2,1.2,Vauxhall
 Tucson,2020,25180,Automatic,978,Petrol,145,35.8,1.6,Hyundai
 Octavia,2017,9695,Manual,44714,Petrol,145,58.9,1.0,Skoda
 I10,2018,7465,Manual,19931,Petrol,150,60.1,1.0,Hyundai
 4 Series,2017,19350,Automatic,18399,Diesel,30,64.2,2.0,BMW
 Aygo,2019,8980,Manual,5000,Petrol,145,56.5,1.0,Toyota
 I30,2015,7991,Manual,47588,Petrol,145,48.7,1.4,Hyundai
 C Class,2017,17973,Semi-Auto,69791,Hybrid,0,74.3,2.1,Mercedes
 Grand C-MAX,2015,9975,Manual,30858,Petrol,30,54.3,1.0,Ford
 Citigo,2018,7330,Manual,10069,Petrol,145,64.2,1.0,Skoda
 Up,2015,5969,Manual,21603,Petrol,20,61.4,1.0,Volkswagen
 Q2,2019,21392,Manual,4722,Diesel,145,49.6,1.6,Audi
 EcoSport,2015,8499,Manual,35000,Petrol,125,52.3,1.0,Ford
 Astra,2018,11191,Manual,22320,Petrol,145,45.6,1.6,Vauxhall
 Mondeo,2019,20000,Manual,7,Diesel,145,65.7,2.0,Ford
 GLA Class,2017,23250,Automatic,17963,Diesel,145,56.5,2.1,Mercedes
 Golf,2015,16299,Semi-Auto,33246,Hybrid,0,188.3,1.4,Volkswagen
 5 Series,2017,21440,Semi-Auto,34779,Diesel,150,62.8,2.0,BMW
 Passat,2015,6500,Automatic,138570,Diesel,20,70.6,1.6,Volkswagen
 Tiguan,2019,26995,Semi-Auto,5000,Petrol,145,37.7,1.5,Volkswagen
 1 Series,2017,19990,Automatic,24092,Petrol,145,39.8,3.0,BMW
 Golf,2016,13998,Semi-Auto,73581,Hybrid,0,188.3,1.4,Volkswagen
 3 Series,2015,20990,Manual,17620,Petrol,265,36.7,3.0,BMW
 Golf,2019,19190,Semi-Auto,3131,Petrol,150,43.5,1.5,Volkswagen
 X2,2019,31980,Semi-Auto,1151,Diesel,145,50.4,2.0,BMW
 B Class,2017,17513,Automatic,14128,Diesel,150,68.9,2.1,Mercedes
 Tiguan,2019,25990,Manual,8896,Diesel,145,47.9,2.0,Volkswagen
 Yeti Outdoor,2014,11500,Semi-Auto,43350,Diesel,205,44.8,2.0,Skoda
 RAV4,2013,11000,Manual,63251,Diesel,165,49.6,2.2,Toyota
 Mokka X,2017,11498,Semi-Auto,23097,Petrol,150,43.5,1.4,Vauxhall
 Astra,2020,16995,Manual,15,Petrol,150,54.3,1.2,Vauxhall
 A Class,2016,16500,Manual,16984,Diesel,30,62.8,2.1,Mercedes
 Focus,2018,13498,Manual,10150,Petrol,145,58.9,1.0,Ford
 Mondeo,2018,20000,Automatic,10999,Diesel,145,57.7,2.0,Ford
 Golf,2017,13498,Manual,13916,Petrol,30,53.3,1.4,Volkswagen
 Aygo,2019,8998,Manual,3593,Petrol,145,56.5,1.0,Toyota
 Golf,2014,9699,Manual,32362,Petrol,30,53.3,1.4,Volkswagen
 Yaris,2019,12790,Manual,3391,Petrol,145,47.9,1.5,Toyota
 B-MAX,2017,10500,Semi-Auto,20348,Petrol,150,44.1,1.6,Ford
 Avensis,2017,11998,Manual,27196,Petrol,145,47.1,1.8,Toyota
 S-MAX,2016,15990,Automatic,30000,Diesel,125,56.5,2.0,Ford
 Caddy Maxi Life,2019,18490,Semi-Auto,13857,Diesel,145,54.3,2.0,Volkswagen
 Touareg,2019,45492,Automatic,7000,Diesel,145,34.0,3.0,Volkswagen
 C Class,2017,15450,Semi-Auto,36368,Diesel,20,65.7,2.1,Mercedes
 Golf,2019,18500,Manual,50,Petrol,145,50.4,1.5,Volkswagen
 Mokka X,2019,14009,Automatic,14601,Petrol,145,37.2,1.4,Vauxhall
 Fiesta,2018,15890,Manual,7974,Petrol,150,40.3,1.5,Ford
 A Class,2019,23350,Semi-Auto,9762,Diesel,145,67.3,1.5,Mercedes
 SLK,2007,5290,Automatic,74000,Petrol,325,32.1,1.8,Mercedes
 B Class,2019,23799,Automatic,3604,Diesel,145,60.1,1.5,Mercedes
 Mokka X,2018,10390,Manual,18689,Petrol,145,47.1,1.4,Vauxhall
 X5,2019,52995,Semi-Auto,10100,Diesel,145,33.6,3.0,BMW
 E Class,2015,13999,Automatic,46578,Diesel,30,64.2,2.1,Mercedes
 Corsa,2012,3849,Manual,64842,Petrol,30,55.4,1.2,Vauxhall
 Adam,2016,8955,Manual,19842,Petrol,30,56.5,1.0,Vauxhall
 Yaris,2018,10998,Manual,12367,Petrol,145,56.5,1.5,Toyota
 Corolla,2019,21500,Automatic,6610,Hybrid,135,85.6,1.8,Toyota
 Polo,2018,12490,Manual,15603,Petrol,150,48.7,1.0,Volkswagen
 Passat,2016,9200,Manual,78374,Diesel,20,67.3,2.0,Volkswagen
 Tucson,2019,20195,Manual,3500,Petrol,145,35.3,1.6,Hyundai
 Q3,2016,15888,Manual,52034,Diesel,145,52.3,2.0,Audi
 Mokka X,2017,12298,Semi-Auto,29267,Petrol,160,43.5,1.4,Vauxhall
 Passat,2019,24999,Automatic,6000,Diesel,145,49.6,2.0,Volkswagen
 1 Series,2017,13698,Semi-Auto,12102,Diesel,0,78.5,1.5,BMW
 Fiesta,2018,15000,Manual,2878,Petrol,145,60.1,1.0,Ford
 1 Series,2019,20875,Manual,5599,Petrol,145,44.1,1.5,BMW
 IX20,2017,9490,Manual,12836,Petrol,145,50.4,1.4,Hyundai
 Golf,2019,26990,Semi-Auto,9118,Petrol,145,37.7,2.0,Volkswagen
 Tiguan,2017,16999,Manual,18687,Diesel,145,58.9,2.0,Volkswagen
 Tiguan,2019,19798,Manual,15323,Petrol,145,40.9,1.5,Volkswagen
 5 Series,2019,27898,Semi-Auto,11871,Diesel,150,62.8,2.0,BMW
 1 Series,2016,10499,Manual,36240,Diesel,0,83.1,1.5,BMW
 Kuga,2015,10781,Automatic,50323,Diesel,145,52.3,2.0,Ford
 C Class,2019,39991,Automatic,1987,Petrol,145,44.1,2.0,Mercedes
 Golf,2017,18990,Automatic,13483,Diesel,30,62.8,2.0,Volkswagen
 Tucson,2017,11695,Manual,49174,Petrol,145,44.8,1.6,Hyundai
 Fiesta,2018,11490,Manual,8819,Petrol,145,65.7,1.0,Ford
 Corsa,2013,4090,Manual,49524,Petrol,125,51.4,1.2,Vauxhall
 Yaris,2017,9250,Manual,23000,Petrol,145,58.9,1.5,Toyota
 Focus,2019,18680,Automatic,8900,Diesel,145,74.3,1.5,Ford
 Golf,2019,31990,Automatic,2965,Petrol,145,32.8,2.0,Volkswagen
 Superb,2016,14595,Manual,13000,Diesel,20,68.9,2.0,Skoda
 Sharan,2018,19606,Manual,18643,Diesel,145,56.5,2.0,Volkswagen
 Yeti Outdoor,2017,15650,Semi-Auto,31889,Petrol,125,51.4,1.2,Skoda
 Insignia,2015,7895,Manual,20500,Diesel,20,68.9,1.6,Vauxhall
 Urban Cruiser,2012,4995,Manual,46000,Diesel,125,57.6,1.4,Toyota
 A6,2016,20481,Semi-Auto,11540,Diesel,30,61.4,2.0,Audi
 Golf,2016,13450,Manual,18378,Petrol,30,53.3,1.4,Volkswagen
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes
 Galaxy,2017,16950,Manual,39616,Diesel,145,56.5,2.0,Ford
 Kuga,2018,15795,Manual,17219,Diesel,150,60.1,2.0,Ford
 Kuga,2017,15498,Manual,32848,Diesel,125,60.1,2.0,Ford
 Galaxy,2016,22000,Semi-Auto,10637,Diesel,145,52.3,2.0,Ford
 Corolla,2020,25490,Automatic,1697,Hybrid,135,56.5,1.8,Toyota
 Focus,2017,10989,Manual,20000,Petrol,150,60.1,1.0,Ford
 Golf,2019,16690,Manual,3535,Diesel,145,57.7,1.6,Volkswagen
 A4,2019,21950,Manual,7975,Petrol,145,39.2,2.0,Audi
 Citigo,2015,6492,Automatic,18367,Petrol,20,64.2,1.0,Skoda
 Focus,2018,11640,Manual,29546,Petrol,150,57.7,1.0,Ford
 Superb,2019,27490,Automatic,10,Petrol,145,38.2,2.0,Skoda
 Astra,2020,15690,Manual,100,Petrol,145,54.3,1.2,Vauxhall
 Fiesta,2015,7990,Manual,26000,Petrol,0,65.7,1.0,Ford
 C Class,2014,11791,Semi-Auto,42879,Diesel,145,53.3,2.1,Mercedes
 B Class,2019,25899,Automatic,6664,Diesel,145,55.4,2.0,Mercedes
 Focus,2019,14450,Manual,7952,Petrol,145,58.9,1.0,Ford
 Viva,2018,6390,Manual,24584,Petrol,145,61.4,1.0,Vauxhall
 1 Series,2017,14290,Manual,23674,Petrol,125,52.3,1.5,BMW
 Zafira,2016,10295,Manual,38883,Petrol,200,42.2,1.4,Vauxhall
 I800,2016,13695,Manual,48859,Diesel,300,37.7,2.5,Hyundai
 Fiesta,2019,13999,Manual,1779,Petrol,145,55.4,1.0,Ford
 3 Series,2016,10499,Manual,68738,Diesel,20,68.9,2.0,BMW
 A Class,2018,18799,Automatic,10359,Diesel,145,65.7,1.5,Mercedes
 Corsa,2016,7599,Manual,15997,Petrol,30,54.3,1.4,Vauxhall
 A4,2013,7990,Automatic,81000,Diesel,125,58.9,2.0,Audi
 X2,2019,28881,Semi-Auto,7922,Diesel,145,58.9,2.0,BMW
 B-MAX,2016,8030,Manual,39674,Petrol,30,56.5,1.0,Ford
 Fiesta,2019,16299,Manual,2278,Petrol,150,60.1,1.0,Ford
 X5,2019,46875,Semi-Auto,10834,Diesel,145,37.7,3.0,BMW
 C Class,2018,18051,Automatic,11319,Diesel,145,65.7,1.6,Mercedes
 Octavia,2015,15495,Manual,21900,Petrol,165,45.6,2.0,Skoda
 Fiesta,2018,10000,Manual,12490,Petrol,150,64.2,1.1,Ford
 3 Series,2017,12200,Manual,50649,Petrol,145,48.7,2.0,BMW
 Q5,2020,36500,Semi-Auto,6500,Diesel,145,38.2,2.0,Audi
 Golf,2019,26989,Automatic,8670,Petrol,145,32.8,2.0,Volkswagen
 Focus,2017,11700,Manual,18587,Diesel,20,70.6,2.0,Ford
 3 Series,2017,13400,Automatic,49877,Diesel,145,65.7,2.0,BMW
 X-CLASS,2019,29000,Automatic,4000,Diesel,260,35.8,2.3,Mercedes
 Focus,2014,6500,Manual,36200,Diesel,20,67.3,1.6,Ford
 Combo Life,2019,14298,Manual,4960,Diesel,145,53.3,1.5,Vauxhall
 B Class,2011,4295,Automatic,61400,Diesel,200,47.1,2.0,Mercedes
 Golf,2015,16980,Manual,37470,Petrol,200,39.8,2.0,Volkswagen
 3 Series,2019,26995,Semi-Auto,9907,Diesel,145,52.3,2.0,BMW
 Tucson,2016,16995,Manual,4859,Petrol,160,44.8,1.6,Hyundai
 Auris,2017,13998,Automatic,28453,Hybrid,135,78.5,1.8,Toyota
 GTC,2016,6713,Manual,27004,Petrol,160,47.1,1.4,Vauxhall
 Citigo,2018,7490,Manual,15043,Petrol,150,68.9,1.0,Skoda
 Superb,2016,12995,Semi-Auto,47901,Diesel,125,61.4,2.0,Skoda
 A Class,2016,12800,Manual,53691,Diesel,30,62.8,2.1,Mercedes
 GLA Class,2020,22999,Semi-Auto,99,Petrol,145,44.8,1.6,Mercedes
 Aygo,2018,8995,Semi-Auto,12109,Petrol,150,56.5,1.0,Toyota
 I20,2019,9962,Manual,15344,Petrol,150,46.3,1.2,Hyundai
 Astra,2019,11490,Manual,14985,Petrol,150,47.1,1.4,Vauxhall
 Focus,2019,16500,Manual,11958,Diesel,145,80.7,1.5,Ford
 CC,2013,8399,Manual,33305,Diesel,125,60.1,2.0,Volkswagen
 Vivaro,2016,13750,Manual,40230,Diesel,160,50.4,1.6,Vauxhall
 I10,2018,8295,Manual,11901,Petrol,145,60.1,1.0,Hyundai
 Fiesta,2017,10995,Manual,1,Petrol,145,65.7,1.0,Ford
 Grand C-MAX,2017,10999,Manual,51024,Petrol,30,54.3,1.0,Ford
 1 Series,2019,15989,Automatic,5504,Petrol,145,55.5,1.5,BMW
 Meriva,2017,6991,Manual,23511,Petrol,150,47.1,1.4,Vauxhall
 Tiguan,2014,12481,Semi-Auto,23379,Diesel,200,47.7,2.0,Volkswagen
 X1,2020,31825,Semi-Auto,99,Diesel,145,47.9,2.0,BMW
 A3,2017,14699,Automatic,27743,Diesel,145,70.6,1.6,Audi
 Ka+,2019,9490,Manual,2000,Petrol,150,48.7,1.2,Ford
 Aygo,2017,5917,Manual,22313,Petrol,0,69.0,1.0,Toyota
 A3,2018,19450,Manual,7900,Petrol,145,47.1,1.0,Audi
 Auris,2017,11495,Automatic,27717,Petrol,20,61.4,1.2,Toyota
 Yaris,2019,11998,Manual,2340,Petrol,145,47.9,1.5,Toyota
 Passat,2019,23495,Manual,6997,Petrol,145,45.6,1.5,Volkswagen
 C Class,2017,17999,Semi-Auto,37564,Hybrid,0,134.5,2.0,Mercedes
 Fabia,2017,8750,Manual,12622,Petrol,145,57.7,1.0,Skoda
 Fiesta,2019,13140,Manual,5211,Petrol,145,48.7,1.1,Ford
 Ioniq,2019,17998,Automatic,10617,Hybrid,135,78.5,1.6,Hyundai
 5 Series,2014,9998,Semi-Auto,82681,Diesel,30,62.8,2.0,BMW
 Fiesta,2019,15000,Manual,9930,Diesel,145,58.9,1.5,Ford
 Touareg,2017,25999,Semi-Auto,30077,Diesel,145,42.8,3.0,Volkswagen
 I10,2019,8190,Manual,7832,Petrol,145,60.1,1.0,Hyundai
 Mokka X,2016,14495,Semi-Auto,8600,Petrol,160,43.5,1.4,Vauxhall
 Auris,2016,13192,Automatic,29847,Hybrid,0,78.5,1.8,Toyota
 C Class,2020,28990,Automatic,3458,Petrol,145,46.3,1.5,Mercedes
 EcoSport,2016,8688,Manual,17543,Petrol,160,44.8,1.5,Ford
 Fiesta,2017,9300,Manual,15724,Petrol,0,65.7,1.0,Ford
 T-Roc,2018,16999,Manual,8074,Petrol,145,55.4,1.0,Volkswagen
 Focus,2016,9400,Manual,37300,Petrol,20,60.1,1.0,Ford
 Grand C-MAX,2017,10830,Automatic,14420,Diesel,30,58.9,1.5,Ford
 Kuga,2017,14000,Automatic,49550,Diesel,150,54.3,2.0,Ford
 3 Series,2019,25980,Semi-Auto,3317,Diesel,145,52.3,2.0,BMW
 Mondeo,2016,13995,Automatic,32217,Diesel,125,56.5,2.0,Ford
 CL Class,2019,27249,Semi-Auto,1000,Petrol,145,39.8,2.0,Mercedes
 A4,2019,26490,Automatic,1000,Diesel,145,47.9,2.0,Audi
 Fiesta,2016,7298,Manual,33524,Diesel,0,78.5,1.5,Ford
 Golf,2019,19480,Manual,9194,Petrol,145,45.6,1.5,Volkswagen
 E Class,2017,18600,Automatic,40337,Diesel,145,72.4,2.0,Mercedes
 A6,2016,24000,Semi-Auto,35260,Diesel,160,50.4,3.0,Audi
 SLK,2015,12999,Automatic,25996,Diesel,145,70.6,2.1,Mercedes
 Insignia,2016,6999,Manual,79344,Diesel,0,74.3,1.6,Vauxhall
 Mokka,2016,8995,Manual,38314,Petrol,200,40.9,1.6,Vauxhall
 Mokka X,2017,11495,Manual,25188,Diesel,30,65.7,1.6,Vauxhall
 Citigo,2016,6690,Manual,13473,Petrol,20,62.8,1.0,Skoda
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,BMW
 Kodiaq,2017,22990,Automatic,30551,Petrol,145,39.8,1.4,Skoda
 Focus,2016,9990,Manual,25580,Diesel,0,74.3,1.5,Ford
 Crossland X,2018,13000,Manual,26411,Diesel,145,70.6,1.6,Vauxhall
 A1,2016,13500,Manual,22780,Petrol,30,58.9,1.4,Audi
 CL Class,2020,30990,Semi-Auto,200,Petrol,150,44.8,1.3,Mercedes
 Focus,2019,13500,Manual,27916,Diesel,150,80.7,1.5,Ford
 Kuga,2017,14990,Manual,32717,Petrol,160,45.6,1.5,Ford
 Fiesta,2017,9998,Manual,32336,Diesel,0,78.5,1.5,Ford
 I40,2015,11995,Automatic,17200,Diesel,200,47.1,1.7,Hyundai
 Auris,2017,13498,Automatic,63652,Hybrid,0,78.5,1.8,Toyota
 3 Series,2016,18299,Automatic,25431,Hybrid,0,134.5,2.0,BMW
 Mokka X,2017,10499,Manual,21550,Petrol,200,42.2,1.6,Vauxhall
 V Class,2018,35000,Automatic,8900,Diesel,145,45.6,2.1,Mercedes
 C-MAX,2017,10995,Manual,36185,Diesel,145,68.9,1.5,Ford
 GLS Class,2016,39799,Semi-Auto,32609,Diesel,300,37.2,3.0,Mercedes
 5 Series,2017,27152,Semi-Auto,66068,Diesel,145,51.4,3.0,BMW
 C Class,2019,27299,Automatic,386,Petrol,145,45.6,1.5,Mercedes
 3 Series,2010,3690,Manual,96000,Diesel,30,62.8,2.0,BMW
 I20,2017,7395,Manual,30505,Petrol,30,55.4,1.2,Hyundai
 C Class,2019,26980,Semi-Auto,9477,Diesel,145,61.4,2.0,Mercedes
 Astra,2013,5662,Semi-Auto,61575,Petrol,235,39.2,1.6,Vauxhall
 C Class,2017,16911,Semi-Auto,32390,Diesel,150,65.7,1.6,Mercedes
 Corsa,2015,8467,Automatic,31456,Petrol,145,47.9,1.4,Vauxhall
 Polo,2018,11995,Manual,17969,Petrol,145,64.2,1.0,Volkswagen
 Astra,2012,3995,Manual,51195,Petrol,125,51.4,1.4,Vauxhall
 I10,2018,7990,Manual,31375,Petrol,150,60.1,1.0,Hyundai
 E Class,2019,28480,Semi-Auto,12667,Diesel,145,58.9,2.0,Mercedes
 Yaris,2017,8495,Manual,28000,Diesel,0,80.7,1.4,Toyota
 RS4,2019,58990,Automatic,5151,Petrol,145,29.1,2.9,Audi
 Touareg,2018,37381,Semi-Auto,19718,Diesel,145,34.0,3.0,Volkswagen
 Kodiaq,2019,24990,Automatic,11510,Petrol,145,34.0,1.5,Skoda
 Karoq,2019,22500,Automatic,3436,Petrol,145,50.4,1.5,Skoda
 Superb,2019,22990,Semi-Auto,14088,Petrol,150,36.7,1.5,Skoda
 A Class,2019,24050,Semi-Auto,8118,Petrol,145,53.3,1.3,Mercedes
 Fiesta,2018,15000,Manual,9760,Petrol,150,62.8,1.0,Ford
 3 Series,2018,22999,Automatic,8721,Petrol,145,43.5,2.0,BMW
 5 Series,2013,10750,Semi-Auto,60611,Diesel,125,60.1,2.0,BMW
 C-MAX,2016,9698,Manual,62703,Diesel,20,68.9,1.5,Ford
 T-Roc,2019,24500,Semi-Auto,760,Petrol,150,39.8,1.5,Volkswagen
 CL Class,2019,20599,Manual,4526,Petrol,145,51.4,1.6,Mercedes
 GLC Class,2020,39980,Semi-Auto,3999,Petrol,145,32.1,2.0,Mercedes
 1 Series,2019,19498,Semi-Auto,11602,Diesel,145,67.3,2.0,BMW
 Tucson,2019,19642,Semi-Auto,2837,Petrol,145,36.2,1.6,Hyundai
 Polo,2008,2495,Manual,97000,Petrol,165,43.5,1.4,Volkswagen
 T-Roc,2019,20490,Manual,3325,Petrol,145,42.2,1.5,Volkswagen
 IX35,2013,7990,Manual,65900,Diesel,150,48.7,1.7,Hyundai
 Q7,2014,25449,Automatic,30500,Diesel,280,38.2,3.0,Audi
 C Class,2019,29500,Semi-Auto,7610,Diesel,145,57.7,2.0,Mercedes
 Crossland X,2020,15295,Manual,25,Diesel,145,61.4,1.5,Vauxhall
 Passat,2014,8199,Manual,54387,Diesel,30,64.2,1.6,Volkswagen
 GLA Class,2016,18700,Semi-Auto,25071,Diesel,125,56.5,2.1,Mercedes
 Up,2017,7511,Manual,9613,Petrol,150,64.2,1.0,Volkswagen
 Polo,2019,13290,Manual,7219,Petrol,145,52.3,1.0,Volkswagen
 I30,2016,9795,Manual,42310,Diesel,20,72.4,1.6,Hyundai
 A6,2019,37000,Semi-Auto,2271,Petrol,145,34.0,2.0,Audi
 Corsa,2016,6990,Manual,15043,Petrol,30,55.4,1.4,Vauxhall
 Meriva,2016,7380,Manual,20654,Petrol,145,47.1,1.4,Vauxhall
 Fiesta,2013,5625,Manual,34049,Petrol,30,54.3,1.2,Ford
 Fiesta,2018,10499,Manual,15737,Petrol,145,55.4,1.1,Ford
 Mokka X,2017,10499,Manual,40489,Diesel,30,65.7,1.6,Vauxhall
 Golf,2015,15099,Manual,52828,Petrol,200,39.8,2.0,Volkswagen
 A5,2019,31990,Automatic,5000,Petrol,145,37.7,2.0,Audi
 Kodiaq,2017,19500,Automatic,46333,Petrol,145,44.8,1.4,Skoda
 Fiesta,2018,10199,Manual,34981,Petrol,145,65.7,1.0,Ford
 Q3,2020,32500,Semi-Auto,3999,Petrol,145,31.4,2.0,Audi
 Meriva,2017,9400,Automatic,5774,Petrol,235,39.8,1.4,Vauxhall
